time_period_start;time_period_end;time_open;time_close;rate_open;rate_high;rate_low;rate_close
2021-05-15T00:00:00.0000000Z;2021-05-16T00:00:00.0000000Z;2021-05-15T00:01:00.0000000Z;2021-05-15T23:59:00.0000000Z;1.83320238997412E-05;1.894427061043539E-05;1.505325634878289E-05;1.5596657803887184E-05
2021-05-16T00:00:00.0000000Z;2021-05-17T00:00:00.0000000Z;2021-05-16T00:01:00.0000000Z;2021-05-16T23:59:00.0000000Z;1.554100052497508E-05;1.957271732296841E-05;1.250593858310866E-05;1.7773997503893742E-05
2021-05-17T00:00:00.0000000Z;2021-05-18T00:00:00.0000000Z;2021-05-17T00:01:00.0000000Z;2021-05-17T23:59:00.0000000Z;1.7675409785342225E-05;1.8093672608239976E-05;1.4163339487718937E-05;1.6552636495630314E-05
2021-05-18T00:00:00.0000000Z;2021-05-19T00:00:00.0000000Z;2021-05-18T00:01:00.0000000Z;2021-05-18T23:59:00.0000000Z;1.6532761475450488E-05;1.802839656749706E-05;1.5296306088350044E-05;1.5650262999602105E-05
2021-05-19T00:00:00.0000000Z;2021-05-20T00:00:00.0000000Z;2021-05-19T00:01:00.0000000Z;2021-05-19T23:59:00.0000000Z;1.561804231693547E-05;1.5797056234272184E-05;6.477476639314882E-06;9.230838193747962E-06
2021-05-20T00:00:00.0000000Z;2021-05-21T00:00:00.0000000Z;2021-05-20T00:01:00.0000000Z;2021-05-20T23:59:00.0000000Z;9.222395358274674E-06;1.2147111330406151E-05;8.040303531080969E-06;9.729356414813373E-06
2021-05-21T00:00:00.0000000Z;2021-05-22T00:00:00.0000000Z;2021-05-21T00:01:00.0000000Z;2021-05-21T23:59:00.0000000Z;9.745936440713278E-06;1.0327679439268812E-05;6.610977683061191E-06;8.217935323679724E-06
2021-05-22T00:00:00.0000000Z;2021-05-23T00:00:00.0000000Z;2021-05-22T00:01:00.0000000Z;2021-05-22T23:59:00.0000000Z;8.20340559604229E-06;9.930302946015514E-06;6.838065509255688E-06;8.307924194183624E-06
2021-05-23T00:00:00.0000000Z;2021-05-24T00:00:00.0000000Z;2021-05-23T00:01:00.0000000Z;2021-05-23T23:59:00.0000000Z;8.288887797293293E-06;9.594703959679826E-06;6.970611865473084E-06;8.131537265055652E-06
2021-05-24T00:00:00.0000000Z;2021-05-25T00:00:00.0000000Z;2021-05-24T00:01:00.0000000Z;2021-05-24T23:59:00.0000000Z;8.16254426037197E-06;1.2025886406454841E-05;7.750980684589652E-06;1.0646583738101186E-05
2021-05-25T00:00:00.0000000Z;2021-05-26T00:00:00.0000000Z;2021-05-25T00:01:00.0000000Z;2021-05-25T23:59:00.0000000Z;1.0669381766528784E-05;1.114843393932649E-05;8.800891202750227E-06;9.393191956426159E-06
2021-05-26T00:00:00.0000000Z;2021-05-27T00:00:00.0000000Z;2021-05-26T00:01:00.0000000Z;2021-05-26T23:59:00.0000000Z;9.424673387996873E-06;1.0472695365510143E-05;9.184553055788246E-06;9.515626182770095E-06
2021-05-27T00:00:00.0000000Z;2021-05-28T00:00:00.0000000Z;2021-05-27T00:01:00.0000000Z;2021-05-27T23:59:00.0000000Z;9.50002938753983E-06;9.534181421518667E-06;8.539302412918077E-06;8.776408936096722E-06
2021-05-28T00:00:00.0000000Z;2021-05-29T00:00:00.0000000Z;2021-05-28T00:01:00.0000000Z;2021-05-28T23:59:00.0000000Z;8.770610291697892E-06;8.857677391400405E-06;7.529369963760817E-06;7.910587050413237E-06
2021-05-29T00:00:00.0000000Z;2021-05-30T00:00:00.0000000Z;2021-05-29T00:01:00.0000000Z;2021-05-29T23:59:00.0000000Z;7.876013587373618E-06;8.207882478304325E-06;7.319702132489375E-06;7.899963394178164E-06
2021-05-30T00:00:00.0000000Z;2021-05-31T00:00:00.0000000Z;2021-05-30T00:01:00.0000000Z;2021-05-30T23:59:00.0000000Z;7.868853612081752E-06;8.129257801501282E-06;7.560339930436154E-06;7.858027937513715E-06
2021-05-31T00:00:00.0000000Z;2021-06-01T00:00:00.0000000Z;2021-05-31T00:01:00.0000000Z;2021-05-31T23:59:00.0000000Z;7.857125339495411E-06;9.976761152475808E-06;7.715240387945435E-06;9.28825597525302E-06
2021-06-01T00:00:00.0000000Z;2021-06-02T00:00:00.0000000Z;2021-06-01T00:01:00.0000000Z;2021-06-01T23:59:00.0000000Z;9.174485794079414E-06;9.434762544639352E-06;8.332397111531432E-06;8.822681691737367E-06
